kr,en
그렇군요. 감사합니다. 추가로 안내 받으신 사항 있으실까요?,"I see, thanks! Did you have any additional information?"
아마 지난 수업에서 저희 시험범위를 다 못 커버해서 그런것같아요.,It think it's because we couldn't cover everything in our last class.
"제 생각에도 그런것같아요. 시험 범위가 150페이지까지 였는데, 저희 아직 100페이지까지밖에 진도를 못나갔잖아요.",I think so too. The exam is supposed to cover up to page 150 but we've only learned up to page 100.
이번 시험에는 구술시험도 추가가 될 예정입니다. 이 점 참고 부탁드립니다.,Please note that an oral exam will be added to this exam.
이번 시험 출제자가 해외에서 유학한 유학파라는 이야기를 들었습니다.,I heard this exam's writer studied in overseas.
감사합니다. 시험 결과는 언제쯤 알수 있을까요?,Thanks. When can we find out our results?
이번 시험에서는 컨닝을 굉장히 엄격하게 단속 할 예정이니 모든 수험생들은 참고 부탁드립니다.,"Attention, all test takers, cheating will strictly be monitored in this exam. "
혹시 이번 시험을 위해서 얼마나 준비했는지 물어봐도 될까요?,May I ask how much you've prepared for this exam?
"오, 그렇군요. 그건 좀 안타깝네요. 한국 수능시험도 그런 상황에 대비해 몇 번 더 치를 수 있는 기회를 줬으면 좋겠네요.","Oh, I see. That's a bummer. I wish Korean college entrance exams also give the students more chances to take the test for a situation like that."
우리 이번 시험 또 전교 1등 김해리라면서?,Is Hye-ri Kim 1st in our school for this exam again?
기다려봐. 내가 뒷사람한테 물어보고 알려줄께. 잠깐만.,Wait a second. I'll ask the guy in the back. Hold on.
"아, 고마워. 난 쑥스러워서 그런거 잘 못물어봐.","Ah, thank you. I'm always to shy to ask."
나 B- 받았어. 나 이번달부터 용돈 못받으면 아무것도 못하는데 어떻하지.,I got a B-. I can't do anything if I don't get allowance this month.
"아, 그러면 이제 변호사가 되려면 어떠한 시험을 치뤄야하는 것인가요?","Then, what kind of exam do we have to take in order to become a lawyer?"
일단 먼저 로스쿨을 진학을 해야만 변호사가 될수 있다고 하네요.,You first have to go to a law school in order to become a lawyer.
맞아. 나는 암기는 잘하는데 응용이 문제야. 응용문제들이 나오면 갑자기 식겁을 하게되.,Right. I'm good with memorizing but the problem for me is understanding a concept. I freak out when I see those questions.
아니야. 나도 지난번보다는 이번 시험이 훨씬 쉬웠던 것 같아.,No. I also think this exam was easier than the last one.
오. 근데 이걸 왜 가져왔어? 혹시 오늘 시험용 부적이야?,"Oh, why did you bring it? Is this going to be a good luck for today's test?"
응. 당연하지. 넌 매년 까먹지 않고 꼭 코스튬을 입고 학교 오잖아.,"Yes, of couse. You never forget to wear your costume every year to school."
내일이 시험이라니 정말 미친듯이 떨린다. 어떻하지.,I can't believe tomorrow is the test day. I'm so nervous. What do I do.
"진짜요, 아빠? 감사합니다! 저 사실 파스타가 너무 먹고 싶었어요.","Really, dad? Thank you so much. I actually have been craving for pasta."
"음, 교복이란 걸 입으니까 조금 기분이 색다르긴 한 것 같아.",I feel a little different because we start to wear uniforms.
맞아. 고등학교 졸업 때 6년 동안 입은 교복 벗으면 또 느낌이 다르다.,I see. You will also feel very strange to stop wearing uniforms after 6 years on your high school graduation.
나 초등학교 입학식때 우리 엄마가 갑자기 교통사고가 나셔서 못오셨었어.,My mom got into a car accident on my elementary school graduation day. So she couldn't make it.
입학식인데 비가 너무 많이 와서 운동장에서 하지 않고 교내 강당에서 하게 되었나봐.,"Our entrance cermony will be held in school auditorium, but not in the playground due to the rain."
난 강당이 더 습할 것 같아서 조금 별로이긴한데 어쩔수 없지.,I feel like the auditorium might be too humid but we don't have a choice.
맞아. 나도 그래. 우린 이제 더 이상 미성년자가 아니라는게 신기해.,I know. Me too. I am shocked that we are not minors anymore.
그래도 같은 대학교가서 다행이다. 대학교 가서도 친하게 지내자.,I am glad that we are going to the same college. Let's stay close in college as well.
소미가 꽃을 좋아하니까 꽃다발은 어때? 너무 식상한가?,What about flower bouquet since she likes flowers? Is it too boring?
나는 미국에서 고등학교를 졸업했는데 참 특이한 일이 있었어.,I graduated high school in the United States and some strange things happened.
응. 지난주에 이메일로 공지가 왔더라. 되게 유명하신 분이야.,Yes. We got an e-mail last week about it. He's very famous.
우리 졸업식 연사는 빌 클린턴 전 미국 대통령께서 해주실거래.,"Bill Clinton, the former president of the United States, will be our graduation speaker this year."
이 학교 졸업식이 진짜 멋있대. 나도 내년 너희 동생 졸업식때 같이 가면 안될까?,I heard their graduation ceremony is amazing. Can I join your family to your brother's graduation ceremony next year?
"선생님, 그동안 저희도 너무 감사했습니다. ",Thanks so much for everything too.
별말씀을요. 저도 그동안 이렇게 똑똑하고 재미있는 학생들을 가르칠수 있어서 영광이었습니다.,You are welcome. I was so honored to teach such amazing and smart group of students.
저희 졸업 후에도 연락하고 꾸준히 찾아오도록 하겠습니다. ,We'll keep in touch and visit you even after we graduate. 
그냥 택시타고 오던지 아버지한테 태워달라고 하면 안되?,Take a cab or ask your dad to give you a ride.
입학식에서 너가 내 옆에 안 앉았으면 우린 친구도 못 되었을거야. ,We wouldn't have become friends if we didn't sit next to each other at the entrance ceremony.
정말 다행이다. 그리고 나서 우리가 지금까지 우정을 이어오고 있다니.,I'm so glad we did and we've been good friends until today.
안녕하세요. 이 꽃다발이랑 저 꽃다발 가격이 어떻게 되나요?,Hi. How much are this and this flower bouquets?
"아, 이 꽃다발은 5,000원입니다. 저것은 7,000원입니다.","That one's 5,000won and this one's 7,000won."
저는 저 꽃다발을 사고 싶은데 혹시 할인 가능한가요?,I want to buy that one but can you give me some discount?
오늘 입학식 끝나고 뭐 다른 계획있어?,What are your plans after the entrance ceremony today?
우리 부모님이 중식당에 함께 가자고 하셨어. 내가 중국음식을 좋아하잖아.,My parents said they'll take me to a Chinese restaurant. You know I like Chinese food.
미정아. 졸업을 진심으로 축하해. 그동안 고생 너무 많았다.,"Mi-jung, congratuations on your graduation. You've done so much."
그러자. 마침 심심할뻔 했는데 잘 됬다.,Yes. I was bored anyways.
그런가봐. 졸업도 수석으로 하고 입학도 수석으로 하네.,I guess. She graduated as valedictorian and she is enrolling as the top of our class as well.
역시 김해리야. 쟨 장차 뭐가 되도 크게 될 애야.,It's Hye-ri Kim after all. She'll become something great in the future.
수정이가 속을 별로 안 썩여서 괜찮았어. 나도 우리 손녀랑 너무 즐거웠다.,It wasn't a big trouble because she was a good girl. I also enjoyed spending some time with my granddaughter.
그러게. 그래서 요즘 한국 여러 대학교에서 졸업 가운 입은 사람들은 많이 보게 되지.,I know right? That's why you see many people with cap and gown in Korean universities thesedays.
우리 부모님은 오늘 같은 입학식에서 처음 만나셨대.,My parents met for the first time at an entrance ceremony like today.
"오늘 여기저기서 ""스승의 은혜"" 노래가 울려 퍼지니까 괜히 옛날 생각이 나요.","It brings back memories hearing this song ""Teacher's Grace"" everywhere today."
그렇죠. 우리도 학생이었을 때가 있었는데. 그때가 참 좋았어요.,Right? There was a time when we were students as well. Those days were the best.
갑자기 좀 달라 보이는데? 근데 왜 맨날 내가 전화하면 안 받아?,You look different now. But how come you never answer my call?
진짜요? 그것참 희한한 일이네.,Seriously? That's strange.
이번 그룹 과제 팀원들 혹시 다 뽑았어?,Did you find everyone for your group project team?
이번 학기에는 그룹 과제가 학점의 약 50%를 차지할 예정입니다.,Group projects will be 50% of your grade this semester.
사실 나도 그래. 내가 말하고 싶은 것을 잘 못 말하겠어.,Me too. I can't say what I want to say.
그냥 우리 모두 다 시간이 없으니까 그냥 이번에는 이메일로 의사소통하는거 어때?,"Since we are all busy, why don't we just communicate via e-mail?"
그렇지? 이메일도 있고 메신저도 있으니까 시간만 맞춰서 온라인으로 회의하자.,Right? We have e-mails and messengers. Let's just find a good time for everyone and have our meeting online.
이번 교수님이 이렇게 그룹 과제를 많이 내주시는 건 분명 이유가 있으시겠지?,There must be a reason why our professor assigned so many group projects.
내가 시간이 좀 있긴 한데 문제는 파워포인트를 잘 못 다뤄.,I have time but I am not good at it.
그래? 그럼 그룹 과제니까 서로 도움 주기로 하자. 일단 1차로 네가 초본을 만들면 세정이가 마무리하면 되겠다.,Really? Let's try to help each other since it's a group project. You can perhaps start the 1st draft and Se Jung can finish it.
그래. 우리 이 팀 계속 유지해서 이번 학기 꼭 A 받자.,"Yes,  let's just maintain this team for the whole semester and get an A. "
쑥스럽게 왜 이래. 나도 우리 팀원들이 열심히 한 번도 안 빠지고 잘해준 덕분에 조장 역할 잘 할 수 있었던 것 같아. ,I'm flattered. I think I was able to do my job as the team leader because you all worked so hard and never missed a single meeting.
진짜? 그럼 매번 그룹 과제 회의 때 따로 출석을 체크한다는 거지? ,"Serious? So you will take attendance for every meeting, right?"
응. 이번 학기에는 참여 인원수 파악하고 단체 사진 하나 찍어서 교수님께 보내드려야 한대.,Yes. We'll have to take a group photo after we take attendance and send it to the professor for this semester
나는 최지훈이 제일 열심히 해줬던 것 같아. 회의 지각도 한 번도 안 하고.,I think Ji-hoon Choi was the most dedicated member. He was never late to meetings.
대학교를 들어오고 나서 그룹 과제는 정말 피할 수 없는 것 같아.,Group projects are unavoidable in college.
"이번에 교양 과목을 새로 듣는데, 되게 다양한 전공자들이 듣는 과목이야.",I am taking an elective class this semester and people with different majors are taking it.
그렇겠다. 나도 다음 학기에 그 수업이나 들을까?,I can see that. Should I take that class next semester?
"얘들아, 미안. 내일 그룹 과제 발표인데 내가 지금 급성 맹장염에 걸렸어.","Guys, I'm sorry. We have our group presentation tomorrow but I got appendicitis."
곧 수술 들어가 봐야 하는데 교수님께는 말씀드렸어. 너무 미안해. 발표 참여 못해서.,I'm going to the operation room soon and I already told the professor. I'm so sorry for not participating.
다들 이번 그룹 과제 너무 수고 많았다. 그런 의미에서 내가 한턱 쏠게.,Thanks for all for your hard work on this group project. I'll treat you guys.
당연하지. 그럼 우리 내일도 여기서 회의하는 거야?,Of course. Are we having our meeting here as well?
안녕하세요. 이번에 A조 조장과 이번 발표를 맡게 된 김미진이라고 합니다.,Hello. This is Mi-jin Kim and I am the leader of team A and will be the speaker of this presentation.
김칫국은 마시지 말자 아직. 갈 길이 멀어.,We shouldn't jump to a conclusion. We still have a long way to go.
정말요? 그래 주시면 감사하죠. 여기서 기다리고 있을게요.,Really? I would appreciate that. I'll wait here.
"김하나 학생, 한 번만 더 지각하면 F 학점이에요. 조심하세요.","Hana Kim. If you're late for the class again, you’ll get an F. Be careful."
꼭 제시간에 다니도록 하겠습니다. 죄송합니다. 교수님.,"I won’t be late again. My apologies, Professor."
"하나야, 진짜로 왜 늦었어? 어제 일찍 잔다고 하지 않았어?","Hey Hana, what is the real reason you were late? Didn’t you say you were going to bed early yesterday?"
네가 그럴 리가 없잖아. 그리고 이번 주에 교수님들이 과제 안 내 주신 거로 알아.,It’s impossible. And I know that the professors didn’t give us any assignments this week.
여보세요? 하나야. 수업에 왜 안 오는 거야? 또 자고 있어?,"Hello? Hana, why aren't you coming to class? Are you still sleeping again?"
알았어. 교수님 오시면 문자로 알려줘. 부탁해!,"All right. If the professor shows up, please text me! "
"하나야, 밥은 먹고 가야지. 밥 잘 먹어야 키 크고 건강해지지.","Hana, you should eat something. You have to eat well to become taller and healthier. "
너무 힘들어. 심장이 터질 것 같아. 먼저 가. 난 이미 늦은 것 같아.,I’m so exhausted. My heart is about to burst out. You go ahead. I think I'm already late.
헛소리 좀 하지 말고 빨리 뛰어. 이번에도 늦으면 F 학점이야.,Cut the crap and run. Late again and you’ll get an F this time.
죄송합니다. 기말고사 시험은 응시할 수 있을까요?,Sorry. Can I take the final exam?
한 번만 봐주시면 안 될까요? 제가 사정이 있어서 지각할 수밖에 없었어요.,Please give me a chance. I was in a situation so I was late.
"김하나 학생, 또 지각했네요. 자리로 들어가세요.","Hana Kim, you’re late again. Go to your seat."
지금 김하나 학생한테서 술 냄새가 굉장히 많이 나요.,"I getting a strong smell of alcohol from you, Kim Hana."
"두리야, 너 오늘 수업에 안 와? 수업 시작 5분 전이야.","Doo Ri, aren’t you coming to class today? The class starts in 5 minutes."
"교수님, 죄송합니다. 오늘 버스 타고 오는데 차가 고장 나서 버스를 바꿔 타고 왔습니다.","Professor, I'm sorry. I took a bus today and the bus broke down on the way so I had to transfer to another bus."
그래서 지각을 했구나? 그러면 좀 있다가 동물병원 가야겠네. 같이 가자.,Is that why you were late? Then you probably have to go to the vet. I’ll go with you.
"아니, 오늘 입을 옷을 미리 어젯밤에 챙겨놨는데 우리 언니가 입고 갔어. 그래서 입을 옷을 찾는 데 시간이 걸려서 버스를 놓쳤어.","Well, I prepared my clothes for today last night, but my sister just took them. I missed the bus because I had to look for clothes to wear."
그럴 만도 하다. 바람도 많이 불었잖아. 너 옷에 비 많이 맞았더라.,That's bad. The wind also blew hard. Your clothes got all wet.
나 도서부야. 너는 어떤 동아리를 신청했어? 영화감상 동아리?,I applied for the book club. What club did you apply for? The movie club?
그거는 도서부원들끼리 당번을 정해서 하는 거야. 점심시간이랑 방과 후에 하면 돼.,We do it on rotations. You can do it during lunchtime and after school.
영화감상 동아리에 온 것을 환영해. 동아리 활동 시간마다 영화를 감상하면 돼.,Welcome to the movie club. You can watch movies every time you come.
매주 어떤 영화를 보는 건가요? 선생님이 임의로 정하는 건가요?,What kind of movies do we watch every week? Will the teacher decide randomly?
그거는 아니고 동아리 부원들이 돌아가면서 매주 보고 싶은 영화를 정하는 거야.,"No, that'll not be the case. The club members will take turns and decide which movie to watch each week."
너 영화감상 동아리에 가입했지? 동아리 활동은 어때? ,"You signed up for a movie club, didn’t you? How is your club activities?"
힘들겠다. 우리는 매주 영화 보고 감상문 써야 해서 불만이었는 데 너의 상황을 보니 괜찮은 것 같아.,"That sounds hard. We were complaining about having to write reviews about movies every week, but I guess I’m in a better situation."
이번 미술대회 준비는 잘 되고 있어? 너의 그림 기대된다.,Are you ready for the art contest? I’m excited to see your drawings.
응원해줘서 고마워. 그림 완성되면 꼭 너한테 먼저 보여줄게.,Thanks for supporting me. I'll make sure to show you my drawing first once it's completed.
알았어요. 축제 공연 날까지 며칠 남지 않았으니까 우리 힘내봐요.,"Ok. We have only a few days until the festival, so let’s keep it up."
그거는 너무 쉽지 않을까요? 한글 반포한 날이 언제인지로 하죠.,Wouldn’t it be too easy? Let’s ask when Hangul was announced. 
이번에 우리 동아리가 N 사에서 여는 게임 제작 경연대회에 출전하기로 했습니다.,We decided to participate in the game production contest held by the “N” company.
